VALUE	ABB	AVL
1297451	32	15
621031862	36	16
909206445	37	17
855209578	35	18
1466604828	46	17
1696097262	34	16
723378941	33	17
676242752	42	17
355532722	33	16
1352468545	30	17
482402496	35	16
1628924555	40	16
432164915	38	16
633275381	31	17
1355417461	42	17
1474772411	39	16
1049012220	39	18
1371235516	38	15
368079945	34	16
1360304036	35	15
475794082	34	15
1147972673	46	17
1477037973	38	17
1394385822	45	15
233268121	31	15
117048075	43	18
1423663384	40	17
1850548398	35	15
650961105	39	17
575278229	42	17
115338979	40	17
652258556	41	16
1196310092	37	17
1024545424	38	16
1507468134	41	17
515431272	33	17
573159038	34	16
83363427	41	16
1191674024	33	17
928691761	37	17
1435831972	45	14
1674076520	33	15
410132668	31	15
1867996888	35	14
159868253	34	16
1765550129	37	14
1195285651	33	17
1208880474	44	16
989301998	33	17
1563365596	45	16
421700862	31	14
1465096080	42	16
563854621	36	17
1898738835	36	16
711998255	33	16
797122742	33	17
2015786910	37	17
2135661639	35	16
500187493	34	15
519264367	32	17
563456220	37	16
615526472	40	17
1171522923	40	18
1759766312	39	15
1640071897	36	14
531507410	31	16
127713937	42	16
65747287	44	17
614870837	44	16
1319387961	38	16
994439048	36	16
2050702810	37	16
845980834	31	16
1404571717	41	16
1771216050	44	16
1005849087	38	17
1022638198	39	17
819018053	40	17
67245913	44	17
2011940196	37	16
234900001	38	16
488946775	29	14
1329552629	31	17
798754622	38	19
240201962	38	15
2041550884	31	17
1595877365	41	16
108505225	44	17
2029728875	36	16
2096064858	32	15
627769592	36	17
445701447	36	16
564107682	38	16
1799292516	37	16
57984112	43	17
56695931	47	17
183316278	45	16
185698049	35	15
122443219	42	17
798187115	38	19
1505086010	44	17
1116882267	36	17
701406277	38	17
203583196	42	15
373970336	35	16
325138679	31	17
1209432284	41	17
1396608535	40	15
1144156732	34	18
1276678197	36	16
1261065083	33	15
1379056733	42	17
1765624973	38	14
443134064	29	14
30327708	30	17
2005826935	35	16
337201300	33	15
1626205073	40	16
2114332160	30	16
219446527	39	14
1574786283	39	16
594618105	32	17
665147975	40	16
2138893965	31	16
246426973	38	15
723132087	32	17
48106249	46	16
429743251	38	16
908830136	39	15
170549468	39	15
1227930366	44	15
266432498	39	15
1287431735	37	17
1929336644	35	17
470015695	41	17
1661402072	29	14
106991675	38	17
1679447979	34	17
910526959	44	16
1251148408	36	16
808642528	34	18
24108394	40	15
482721493	34	15
426783853	37	15
467242459	37	17
513049201	33	17
285127141	38	16
804443759	32	17
2139254274	33	17
251975653	42	17
1023890287	36	17
1566556909	37	15
846593758	33	17
1689038262	35	14
1557967227	40	17
1093020731	42	17
264686701	46	16
1606073476	38	15
1522763982	43	17
1173516837	44	19
1776622944	39	16
603210701	31	16
1439949335	45	17
916571031	38	16
385063697	36	16
1909965030	34	17
430489455	40	17
492055372	30	15
1441929361	49	16
1341016414	40	16
1743203780	38	16
103088242	42	16
1365124809	37	17
78441626	41	16
529872095	37	15
1832367268	37	16
591490827	34	16
814999236	40	16
489327379	34	15
583261454	38	16
1066974890	41	17
1513217666	49	17
2334715	33	15
1913568648	28	16
1054772280	38	16
1560301942	39	16
859105732	31	16
